X,Y,fid,NOMBRE,X,Y,icon_url
-1.27089043417849,38.0781466462554,"61",Ceutí,651759.74,4216100.63,./0.png
-1.25577623633515,38.0831508994615,"62",Lorquí,653075.05,4216680.73,./0.png
-1.11427392834236,38.0023705052851,"63",Murcia/Zarandona,665668.07,4207959.21,./0.png
-1.14743430318041,37.9983193777455,"64",Murcia/El Ranero,662765.31,4207451.16,./0.png
-0.999688820619892,38.0481019473351,"65",Beniel,675620.36,4213244.21,./0.png
-1.11843304009762,37.9846664278244,"66",Murcia/Vistabella,665342.6,4205987.23,./0.png
-1.06884455973282,37.9746235701081,"67",Murcia/Beniaján,669721.01,4204962.01,./0.png
-1.03273690011465,38.0145841517624,"68",Murcia/Alquerías,672798.98,4209462.83,./0.png
-1.10237739574847,37.9956782980063,"69",Murcia/Puente Tocinos,666727.82,4207237.83,./0.png
-1.09593680516889,38.0219237031449,"70",Murcia/Monteagudo,667233.78,4210161.8,./0.png
-1.13288093299055,37.9794370412191,"71",Murcia/Barrio del Carmen,664085.31,4205381.38,./0.png
-1.11965167803856,37.9756873581323,"72",Murcia/Infante Juan Manuel,665255.7,4204988.68,./0.png
-1.05013106652808,38.0635504780185,"73",Santomera,671157.89,4214864.45,./0.png
-1.13471857429494,37.9679839106954,"74",Murcia/Santiago El Mayor,663949.37,4204107.22,./0.png
-1.12721093157443,37.9789269271321,"75",Murcia/Floridablanca,664584.47,4205334.78,./0.png
-1.06985357432893,38.0070599225342,"76",Murcia/Llano de Brujas,669557.71,4208559.59,./0.png
-0.82675932078159,37.8022186834002,"77",San Javier,691432.26,4186298.93,./0.png
-0.785204665755812,37.8334591427815,"78",San Pedro del Pinatar,695008.93,4189851.63,./0.png
-0.949531141041136,37.7413212015926,"79",Torre Pacheco/Este,680770.56,4179296.98,./0.png
-0.854492947539632,37.7493201018207,"80",Los Alcázares,689125.05,4180372.4,./0.png
-0.958632824001874,37.7481435175328,"81",Torre Pacheco/Oeste,679952,4180036.49,./0.png
-1.40233812300468,38.2065085350989,"82",Abarán,639984.55,4230137.99,./0.png
-1.41419770453314,38.2416709910789,"83",Cieza/Este,638879.29,4234022.04,./0.png
-1.42616795118486,38.2349443081234,"84",Cieza/Oeste,637844.38,4233257.71,./0.png
-1.37018389360507,38.1787922911637,"85",Blanca,642854.08,4227111.44,./0.png
